Date,Open,High,Low,Close,Volume
28-02-2019,180,181.55,176.6,177.45,18692372
01-03-2019,178.65,184,177.35,180.3,20539919
05-03-2019,183.8,198.35,181.4,194.05,58138551
06-03-2019,195.4,195.4,187.75,188.8,22468702
07-03-2019,191.4,193.45,187.8,189.3,27051501
08-03-2019,187.8,187.95,180,181.2,28012914
11-03-2019,182,184.6,181.05,181.85,25669662
12-03-2019,184.4,186,183.55,184.8,18657724
13-03-2019,184.45,184.9,180.4,181.7,9769821
14-03-2019,181.5,182.45,177.65,179.55,15737080
15-03-2019,180.2,181.4,177.6,180,17490993
18-03-2019,181,184.7,179.5,182.25,14690339
19-03-2019,182,184.5,180.75,182.85,10318028
20-03-2019,183,183.45,179.6,180.2,7543753
22-03-2019,181.95,182,174.9,175.4,11505994
25-03-2019,173.7,173.8,170.55,171.3,11864723
26-03-2019,171.9,173.6,171.6,173.1,7820112
27-03-2019,174,175,169.15,169.85,10047628
28-03-2019,169,171.4,167.55,170.55,13203927
29-03-2019,171.15,177.05,171,174.25,17780440
01-04-2019,176.35,189.75,176.35,187.35,46389181
02-04-2019,188.05,204.4,185.3,202.95,100834335
03-04-2019,205,208.95,199.2,201.35,81779620
04-04-2019,201.85,206.9,201.05,206.15,41268908
05-04-2019,208,209.5,202.3,205.15,32057373
08-04-2019,206,207.4,198.8,200.55,23877595
09-04-2019,200,207.6,198.15,205.9,29611268
10-04-2019,206,217.4,205.6,216.05,69349488
11-04-2019,216.6,219.2,213.3,218.2,41859862
12-04-2019,218.95,219,215,215.95,21788548
15-04-2019,217.15,233.25,217.15,231.75,57283251
16-04-2019,233.8,234.1,225.65,230.5,41653657
18-04-2019,231.9,239.3,230.6,236.25,42451178
22-04-2019,235,239.35,231.7,234.85,30282217
23-04-2019,235,235.85,230.25,231.65,18975358
24-04-2019,231.65,232.95,217.6,223.6,50317411
25-04-2019,223.4,225.9,220.25,221.85,27132908
26-04-2019,221.9,221.9,214,215.6,26038093
